Method,Language,Library / Object,Returns,Description,Use Case,Example Problem,Example Answer,Import,Input example,Output example
||,SQL,SQLite,Concatenates text values together.,Build a new string from multiple extracted or literal pieces.,"If one part is NULL, the result can become NULL unless COALESCE() is used.","I have a date stored as MM/DD/YYYY text, and I need to rearrange it into YYYY-MM-DD text.","SELECT substr(date_occ, 7, 4) || '-' || substr(date_occ, 1, 2) || '-' || substr(date_occ, 4, 2) AS iso_date_text FROM crimes;","CREATE TABLE crimes (date_occ TEXT);\nINSERT INTO crimes VALUES ('01/15/2024 12:00:00 AM');\nSELECT substr(date_occ, 7, 4) || '-' || substr(date_occ, 1, 2) || '-' || substr(date_occ, 4, 2) AS iso_date_text FROM crimes;",2024-01-15,
date(),SQL,SQLite,Converts a valid date-like value into YYYY-MM-DD text.,Turn ISO-formatted text into a SQLite date result for filtering or grouping.,"SQLite returns dates as text, not as a separate date object type.","I have rearranged date text, and I need SQLite to treat it as a date-style value.","SELECT date(substr(date_occ, 7, 4) || '-' || substr(date_occ, 1, 2) || '-' || substr(date_occ, 4, 2)) AS clean_date FROM crimes;","CREATE TABLE crimes (date_occ TEXT);\nINSERT INTO crimes VALUES ('01/15/2024 12:00:00 AM');\nSELECT date(substr(date_occ, 7, 4) || '-' || substr(date_occ, 1, 2) || '-' || substr(date_occ, 4, 2)) AS clean_date FROM crimes;",2024-01-15,
"strftime('%m', ...)",SQL,SQLite,Extracts the month number from a date as text.,Get the month from a cleaned SQLite date.,"The month is returned as two-digit text, such as 01 or 12.","I have a cleaned date, and I need the month number for grouping.","SELECT strftime('%m', clean_date) AS month_number FROM cleaned_crimes;","CREATE TABLE cleaned_crimes (clean_date TEXT);\nINSERT INTO cleaned_crimes VALUES ('2024-01-15');\nSELECT strftime('%m', clean_date) AS month_number FROM cleaned_crimes;",01,
"strftime('%Y', ...)",SQL,SQLite,Extracts the year from a date as text.,Get the year from a cleaned SQLite date.,"The result is text, not an integer.","I have a cleaned date, and I need the year for filtering.","SELECT strftime('%Y', clean_date) AS year_text FROM cleaned_crimes;","CREATE TABLE cleaned_crimes (clean_date TEXT);\nINSERT INTO cleaned_crimes VALUES ('2024-01-15');\nSELECT strftime('%Y', clean_date) AS year_text FROM cleaned_crimes;",2024,
"strftime('%Y-%m', ...)",SQL,SQLite,Formats a date into year-month text.,Group records by month across years.,Useful because 2024-01 sorts correctly as text.,"I have cleaned dates, and I need monthly crime counts.","SELECT strftime('%Y-%m', clean_date) AS month_key, COUNT() AS crime_count FROM cleaned_crimes GROUP BY month_key;","CREATE TABLE cleaned_crimes (clean_date TEXT);\nINSERT INTO cleaned_crimes VALUES ('2024-01-15'), ('2024-01-20'), ('2024-02-01');\nSELECT strftime('%Y-%m', clean_date) AS month_key, COUNT() AS crime_count FROM cleaned_crimes GROUP BY month_key;",2024-01|2\n2024-02|1,
CASE WHEN ... THEN ... ELSE ... END,SQL,SQLite,Creates conditional output based on rules.,Convert coded or numeric values into readable labels.,Always close the expression with END.,"I have month numbers, and I want to display JAN for 01.","SELECT month_number, CASE WHEN month_number = '01' THEN 'JAN' ELSE 'OTHER' END AS month_name FROM months;","CREATE TABLE months (month_number TEXT);\nINSERT INTO months VALUES ('01'), ('02');\nSELECT month_number, CASE WHEN month_number = '01' THEN 'JAN' ELSE 'OTHER' END AS month_name FROM months;",01|JAN\n02|OTHER,
COUNT(),SQL,SQLite,Counts the number of rows in each result or group.,Count records overall or per group.,COUNT() includes rows even when some column values are NULL.,"I have crimes by category, and I need the number of rows per category.","SELECT category, COUNT() AS crime_count FROM crimes GROUP BY category;","CREATE TABLE crimes (category TEXT);\nINSERT INTO crimes VALUES ('THEFT'), ('THEFT'), ('ROBBERY');\nSELECT category, COUNT() AS crime_count FROM crimes GROUP BY category;",ROBBERY|1\nTHEFT|2,
SUM(),SQL,SQLite,Adds numeric values together.,Calculate totals by group.,NULL values are ignored.,"I have sales by store, and I need total revenue per store.","SELECT store, SUM(revenue) AS total_revenue FROM sales GROUP BY store;","CREATE TABLE sales (store TEXT, revenue INTEGER);\nINSERT INTO sales VALUES ('A', 100), ('A', 50), ('B', 80);\nSELECT store, SUM(revenue) AS total_revenue FROM sales GROUP BY store;",A|150\nB|80,
AVG(),SQL,SQLite,Calculates the average of numeric values.,Find the mean value overall or per group.,NULL values are ignored.,"I have product ratings, and I need the average rating per product.","SELECT product, AVG(rating) AS avg_rating FROM reviews GROUP BY product;","CREATE TABLE reviews (product TEXT, rating INTEGER);\nINSERT INTO reviews VALUES ('Keyboard', 5), ('Keyboard', 3), ('Mouse', 4);\nSELECT product, AVG(rating) AS avg_rating FROM reviews GROUP BY product;",Keyboard|4.0\nMouse|4.0,
MIN(),SQL,SQLite,Returns the smallest value.,Find the earliest date or lowest numeric value.,"Works with numbers, text, and ISO-formatted dates.","I have cleaned crime dates, and I need the earliest date.",SELECT MIN(clean_date) AS earliest_date FROM crimes;,"CREATE TABLE crimes (clean_date TEXT);\nINSERT INTO crimes VALUES ('2024-01-15'), ('2023-12-30'), ('2024-02-01');\nSELECT MIN(clean_date) AS earliest_date FROM crimes;",2023-12-30,
MAX(),SQL,SQLite,Returns the largest value.,Find the latest date or highest numeric value.,"Works with numbers, text, and ISO-formatted dates.","I have cleaned crime dates, and I need the latest date.",SELECT MAX(clean_date) AS latest_date FROM crimes;,"CREATE TABLE crimes (clean_date TEXT);\nINSERT INTO crimes VALUES ('2024-01-15'), ('2023-12-30'), ('2024-02-01');\nSELECT MAX(clean_date) AS latest_date FROM crimes;",2024-02-01,
ROUND(),SQL,SQLite,Rounds a numeric value to a chosen number of decimal places.,Make calculated numbers easier to read.,The second argument controls decimal places.,"I have average ratings, and I need them rounded to one decimal place.","SELECT product, ROUND(AVG(rating), 1) AS avg_rating FROM reviews GROUP BY product;","CREATE TABLE reviews (product TEXT, rating REAL);\nINSERT INTO reviews VALUES ('Keyboard', 4.25), ('Keyboard', 3.75), ('Mouse', 4.10);\nSELECT product, ROUND(AVG(rating), 1) AS avg_rating FROM reviews GROUP BY product;",Keyboard|4.0\nMouse|4.1,
ABS(),SQL,SQLite,Returns the positive distance from zero.,Measure difference without caring about direction.,Useful for absolute error or distance-style calculations.,"I have expected and actual sales, and I need the absolute difference.",SELECT ABS(actual - expected) AS absolute_error FROM metrics;,"CREATE TABLE metrics (expected INTEGER, actual INTEGER);\nINSERT INTO metrics VALUES (100, 85);\nSELECT ABS(actual - expected) AS absolute_error FROM metrics;",15,
CAST(... AS INTEGER),SQL,SQLite,Converts a value into an integer.,Turn extracted text into a number for math or numeric sorting.,Non-numeric text may convert to 0.,"I extracted a month as text, and I need it as a number.",SELECT CAST(month_text AS INTEGER) AS month_number FROM months;,"CREATE TABLE months (month_text TEXT);\nINSERT INTO months VALUES ('01'), ('12');\nSELECT CAST(month_text AS INTEGER) AS month_number FROM months;",1\n12,
julianday(),SQL,SQLite,Converts a date into a numeric day count.,Subtract dates to calculate duration in days.,Useful for date differences.,"I have start and end dates, and I need the number of days between them.",SELECT julianday(end_date) - julianday(start_date) AS days_between FROM projects;,"CREATE TABLE projects (start_date TEXT, end_date TEXT);\nINSERT INTO projects VALUES ('2024-01-01', '2024-01-10');\nSELECT julianday(end_date) - julianday(start_date) AS days_between FROM projects;",9.0,
datetime(),SQL,SQLite,Returns a date-time text value in YYYY-MM-DD HH:MM:SS format.,Create or modify timestamp-style values.,SQLite stores the result as text.,"I have a date, and I need to add 3 hours to create a timestamp.","SELECT datetime(clean_date, '+3 hours') AS shifted_time FROM events;","CREATE TABLE events (clean_date TEXT);\nINSERT INTO events VALUES ('2024-01-15');\nSELECT datetime(clean_date, '+3 hours') AS shifted_time FROM events;",2024-01-15 03:00:00,
lower(),SQL,SQLite,Returns a lowercase version of text.,Convert text to lowercase.,Only affects alphabetic characters.,I have names in mixed case and need them lowercase.,SELECT lower(name) FROM users;,"CREATE TABLE users (name TEXT);\nINSERT INTO users VALUES ('Mia'), ('LEO');\nSELECT lower(name) FROM users;",mia\nleo,
upper(),SQL,SQLite,Returns an uppercase version of text.,Convert text to uppercase.,Only affects alphabetic characters.,I have state codes and need them uppercase.,SELECT upper(state) FROM locations;,"CREATE TABLE locations (state TEXT);\nINSERT INTO locations VALUES ('wa'), ('tx');\nSELECT upper(state) FROM locations;",WA\nTX,
length(),SQL,SQLite,Returns the number of characters in text.,Measure text length.,"Counts characters, not bytes.",I have product codes and need their length.,SELECT length(code) FROM products;,"CREATE TABLE products (code TEXT);\nINSERT INTO products VALUES ('ABC123'), ('X9');\nSELECT length(code) FROM products;",6\n2,
trim(),SQL,SQLite,Removes leading and trailing spaces from text.,Clean text before comparison or display.,Does not remove internal spaces.,I have names with extra spaces and need them cleaned.,SELECT trim(name) FROM users;,CREATE TABLE users (name TEXT);\nINSERT INTO users VALUES (' Mia ');\nSELECT trim(name) FROM users;,Mia,
ltrim(),SQL,SQLite,Removes leading characters from text.,Clean unwanted characters from the start.,Can remove specific characters.,I have codes with leading zeros and need them removed.,"SELECT ltrim(code, '0') FROM items;","CREATE TABLE items (code TEXT);\nINSERT INTO items VALUES ('00045');\nSELECT ltrim(code, '0') FROM items;",45,
rtrim(),SQL,SQLite,Removes trailing characters from text.,Clean unwanted characters from the end.,Can remove specific characters.,I have codes with trailing X and need them removed.,"SELECT rtrim(code, 'X') FROM items;","CREATE TABLE items (code TEXT);\nINSERT INTO items VALUES ('45XX');\nSELECT rtrim(code, 'X') FROM items;",45,
replace(),SQL,SQLite,Replaces occurrences of a substring within text.,Standardize or clean text values.,"Replaces all matches, not just the first.",I have phone numbers with dashes and need them removed.,"SELECT replace(phone, '-', '') FROM contacts;","CREATE TABLE contacts (phone TEXT);\nINSERT INTO contacts VALUES ('123-456-7890');\nSELECT replace(phone, '-', '') FROM contacts;",1234567890,
instr(),SQL,SQLite,Returns the position of a substring in text.,Find where a substring appears.,Returns 0 if not found.,I need to find position of '@' in emails.,"SELECT instr(email, '@') FROM users;","CREATE TABLE users (email TEXT);\nINSERT INTO users VALUES ('test@email.com
');\nSELECT instr(email, '@') FROM users;",5,
printf(),SQL,SQLite,Formats text using placeholders.,Create formatted strings like padded numbers.,Works like C-style formatting.,I need to format numbers as 2-digit values.,"SELECT printf('%02d', num) FROM nums;","CREATE TABLE nums (num INTEGER);\nINSERT INTO nums VALUES (3), (12);\nSELECT printf('%02d', num) FROM nums;",03\n12,
coalesce(),SQL,SQLite,Returns the first non-null value.,Handle missing data.,Evaluates arguments left to right.,I have nullable names and need a fallback value.,"SELECT coalesce(name, 'Unknown') FROM users;","CREATE TABLE users (name TEXT);\nINSERT INTO users VALUES (NULL), ('Mia');\nSELECT coalesce(name, 'Unknown') FROM users;",Unknown\nMia,
ifnull(),SQL,SQLite,Returns a fallback if value is NULL.,Simpler version of coalesce with two values.,Only handles one fallback value.,I have nullable scores and need default 0.,"SELECT ifnull(score, 0) FROM results;","CREATE TABLE results (score INTEGER);\nINSERT INTO results VALUES (NULL), (5);\nSELECT ifnull(score, 0) FROM results;",0\n5,
like,SQL,SQLite,Matches text patterns using wildcards.,Filter rows based on partial matches.,"% matches many characters, _ matches one.",I need users whose email contains gmail.,SELECT email FROM users WHERE email LIKE '%gmail%';,"CREATE TABLE users (email TEXT);\nINSERT INTO users VALUES ('a@gmail.com
'), ('b@yahoo.com
');\nSELECT email FROM users WHERE email LIKE '%gmail%';",a@gmail.com,
glob,SQL,SQLite,Matches text using Unix-style patterns.,Alternative to LIKE with case-sensitive matching.,"* matches many characters, ? matches one.",I need codes starting with A.,SELECT code FROM items WHERE code GLOB 'A*';,"CREATE TABLE items (code TEXT);\nINSERT INTO items VALUES ('A12'), ('B34');\nSELECT code FROM items WHERE code GLOB 'A*';",A12,
UNION ALL,SQL,SQLite compound SELECT syntax,Result set,Combines multiple SELECT results and keeps all rows including duplicates.,Append datasets with identical structure where duplicates matter.,Combine online and store sales into one list including duplicate amounts.,SELECT amount FROM online_sales UNION ALL SELECT amount FROM store_sales;,-,"CREATE TABLE online_sales(amount INTEGER);\nINSERT INTO online_sales VALUES (20),(30);\nCREATE TABLE store_sales(amount INTEGER);\nINSERT INTO store_sales VALUES (20),(40);",20\n30\n20\n40
UNION,SQL,SQLite compound SELECT syntax,Result set,Combines multiple SELECT results and removes duplicate rows.,Create a unique combined dataset.,Combine customer emails from two sources without duplicates.,SELECT email FROM customers UNION SELECT email FROM newsletter;,-,"CREATE TABLE customers(email TEXT);\nINSERT INTO customers VALUES ('a@test.com
'),('b@test.com
');\nCREATE TABLE newsletter(email TEXT);\nINSERT INTO newsletter VALUES ('b@test.com
'),('c@test.com
');","a@test.com
\nb@test.com
\nc@test.com"
INTERSECT,SQL,SQLite compound SELECT syntax,Result set,Returns rows that exist in both SELECT results.,Find overlapping records between datasets.,Find users who are both app users and paying customers.,SELECT user_id FROM app_users INTERSECT SELECT user_id FROM paying_users;,-,"CREATE TABLE app_users(user_id INTEGER);\nINSERT INTO app_users VALUES (1),(2),(3);\nCREATE TABLE paying_users(user_id INTEGER);\nINSERT INTO paying_users VALUES (2),(3),(4);",2\n3
EXCEPT,SQL,SQLite compound SELECT syntax,Result set,Returns rows from the first SELECT not present in the second.,Find differences between datasets.,Find users who signed up but never paid.,SELECT user_id FROM app_users EXCEPT SELECT user_id FROM paying_users;,-,"CREATE TABLE app_users(user_id INTEGER);\nINSERT INTO app_users VALUES (1),(2),(3);\nCREATE TABLE paying_users(user_id INTEGER);\nINSERT INTO paying_users VALUES (2),(3),(4);",1
set(),Python,Built-in,set,Creates a set of unique elements from an iterable.,Remove duplicates or perform set operations.,I have a list with duplicates and need only unique values.,result = set(nums),-,"nums = [1,2,2,3,3,3]\nresult = set(nums)","{1,2,3}"
set.union(),Python,Built-in,set,Returns a new set containing all unique elements from both sets.,Combine two datasets without duplicates.,I have two user ID sets and want all unique users.,result = set1.union(set2),-,"set1 = {1,2,3}\nset2 = {3,4,5}\nresult = set1.union(set2)","{1,2,3,4,5}"
set.intersection(),Python,Built-in,set,Returns a set of elements common to both sets.,Find overlap between datasets.,I need users present in both groups.,result = set1.intersection(set2),-,"set1 = {1,2,3}\nset2 = {2,3,4}\nresult = set1.intersection(set2)","{2,3}"
set.difference(),Python,Built-in,set,Returns elements in the first set but not in the second.,Find items unique to one dataset.,I need users in group A but not in group B.,result = set1.difference(set2),-,"set1 = {1,2,3}\nset2 = {2,3,4}\nresult = set1.difference(set2)",{1}
set.symmetric_difference(),Python,Built-in,set,Returns elements in either set but not both.,Find non-overlapping elements between datasets.,I need users who are only in one of two groups.,result = set1.symmetric_difference(set2),-,"set1 = {1,2,3}\nset2 = {3,4,5}\nresult = set1.symmetric_difference(set2)","{1,2,4,5}"
set.add(),Python,Built-in,None,Adds a single element to a set in-place.,Insert a new unique element.,I want to add a new user ID to a set.,"result = (set1.add(4), set1)[1]",-,"set1 = {1,2,3}\nresult = (set1.add(4), set1)[1]","{1,2,3,4}"
set.remove(),Python,Built-in,None,Removes a specific element from a set; errors if not found.,Delete a known existing element.,I need to remove a user ID that must exist.,"result = (set1.remove(2), set1)[1]",-,"set1 = {1,2,3}\nresult = (set1.remove(2), set1)[1]","{1,3}"
set.discard(),Python,Built-in,None,"Removes an element if present, does nothing if not.",Safely remove elements without errors.,I want to remove a user ID if it exists without failing.,"result = (set1.discard(5), set1)[1]",-,"set1 = {1,2,3}\nresult = (set1.discard(5), set1)[1]","{1,2,3}"
set.update(),Python,Built-in,None,Adds elements from another iterable into the set in-place.,Merge another collection into a set.,I want to add multiple IDs from a list into my set.,"result = (set1.update(nums), set1)[1]",-,"set1 = {1,2}\nnums = [2,3,4]\nresult = (set1.update(nums), set1)[1]","{1,2,3,4}"
set.issubset(),Python,Built-in,bool,Checks if all elements of one set are contained in another.,Validate if one dataset is fully contained in another.,I need to confirm all required IDs exist in the main set.,result = set1.issubset(set2),-,"set1 = {1,2}\nset2 = {1,2,3,4}\nresult = set1.issubset(set2)",True
set.issuperset(),Python,Built-in,bool,Checks if a set contains all elements of another set.,Validate if a dataset fully covers another.,I need to confirm my dataset includes all required IDs.,result = set1.issuperset(set2),-,"set1 = {1,2,3,4}\nset2 = {2,3}\nresult = set1.issuperset(set2)",True
set.isdisjoint(),Python,Built-in,bool,Checks if two sets have no elements in common.,Ensure datasets do not overlap.,I need to verify two groups share no common IDs.,result = set1.isdisjoint(set2),-,"set1 = {1,2}\nset2 = {3,4}\nresult = set1.isdisjoint(set2)",True
itertools.permutations(),Python,itertools,iterator of tuples,Returns all possible ordered arrangements of elements of length r.,Generate all possible orderings where position matters.,I have a list of 3 items and need all possible 2-item orderings.,"result = list(itertools.permutations(items, 2))",import itertools,"items = ['A','B','C']\nresult = list(itertools.permutations(items, 2))","[('A','B'),('A','C'),('B','A'),('B','C'),('C','A'),('C','B')]"
itertools.combinations(),Python,itertools,iterator of tuples,Returns all possible unordered combinations of elements of length r.,Generate unique groupings where order does not matter.,I have 3 items and need all unique 2-item groups.,"result = list(itertools.combinations(items, 2))",import itertools,"items = ['A','B','C']\nresult = list(itertools.combinations(items, 2))","[('A','B'),('A','C'),('B','C')]"
itertools.product(),Python,itertools,iterator of tuples,Returns Cartesian product of input iterables.,Generate all pair combinations across multiple lists.,I have colors and sizes and need all possible pairs.,"result = list(itertools.product(colors, sizes))",import itertools,"colors = ['red','blue']\nsizes = ['S','M']\nresult = list(itertools.product(colors, sizes))","[('red','S'),('red','M'),('blue','S'),('blue','M')]"
itertools.combinations_with_replacement(),Python,itertools,iterator of tuples,Returns combinations allowing repeated elements.,Generate combinations where items can repeat.,I need 2-item combinations where repetition is allowed.,"result = list(itertools.combinations_with_replacement(items, 2))",import itertools,"items = ['A','B','C']\nresult = list(itertools.combinations_with_replacement(items, 2))","[('A','A'),('A','B'),('A','C'),('B','B'),('B','C'),('C','C')]"
math.perm(),Python,math,int,Returns number of permutations of n items taken r at a time.,Count ordered arrangements without generating them.,I need the number of ways to arrange 3 items taken 2 at a time.,"result = math.perm(n, r)",import math,"n = 3\nr = 2\nresult = math.perm(n, r)",6
math.comb(),Python,math,int,Returns number of combinations of n items taken r at a time.,Count combinations without generating them.,I need the number of ways to choose 2 items from 3.,"result = math.comb(n, r)",import math,"n = 3\nr = 2\nresult = math.comb(n, r)",3
itertools.chain(),Python,itertools,iterator,Chains multiple iterables into a single sequence.,Flatten multiple lists into one sequence.,I have multiple lists and want to iterate over them as one.,"result = list(itertools.chain(list1, list2))",import itertools,"list1 = [1,2]\nlist2 = [3,4]\nresult = list(itertools.chain(list1, list2))","[1,2,3,4]"
itertools.zip_longest(),Python,itertools,iterator of tuples,"Zips iterables of different lengths, filling missing values.",Align uneven datasets safely.,I have two lists of different lengths and need paired output.,"result = list(itertools.zip_longest(a, b, fillvalue=None))",import itertools,"a = [1,2]\nb = [3]\nresult = list(itertools.zip_longest(a, b, fillvalue=None))","[(1,3),(2,None)]"
